case,slip_Hz,supply_freq_Hz,current_A_per_face,Vll_V4_free_V,PF_V4_free,Vll_V4_highmu_V,PF_V4_highmu,efficiency_pct,loss_channel_MW,secondary_loss_channel_MW,copper_loss_channel_MW,iron_loss_channel_kW,input_channel_MW
nominal,3.0,43.0,1365.0959,2751.0624,0.8041,3038.4397,0.7280,85.1849,1.5416,1.0902,0.4470,4.4351,10.4056
nominal,3.2,43.2,1383.0641,2667.8625,0.8209,2951.6951,0.7420,84.9321,1.5726,1.1095,0.4589,4.2509,10.4366
nominal,3.4,43.4,1406.0624,2593.1180,0.8352,2875.2970,0.7532,84.6080,1.6126,1.1342,0.4742,4.1033,10.4766
nominal,3.5,43.5,1419.4207,2557.6721,0.8413,2839.8144,0.7577,84.4179,1.6361,1.1488,0.4833,4.0445,10.5001
nominal,4.0,44.0,1513.8205,2408.1031,0.8550,2706.4614,0.7607,83.0509,1.8090,1.2554,0.5497,3.8540,10.6730
design,3.0,43.0,1453.2036,2928.6249,0.8041,3234.5505,0.7280,85.1280,1.7470,1.2354,0.5066,5.0260,11.7470
design,3.2,43.2,1472.3316,2840.0551,0.8209,3142.2072,0.7420,84.8744,1.7821,1.2573,0.5200,4.8173,11.7821
design,3.4,43.4,1496.8143,2760.4863,0.8352,3060.8780,0.7532,84.5492,1.8274,1.2853,0.5374,4.6501,11.8274
design,3.5,43.5,1511.0348,2722.7526,0.8413,3023.1053,0.7577,84.3585,1.8542,1.3019,0.5477,4.5835,11.8542
design,4.0,44.0,1611.5274,2563.5299,0.8550,2881.1452,0.7607,82.9874,2.0500,1.4227,0.6230,4.3676,12.0500
