case,slip_Hz,current_A,thrust_total_kN,P2_MW_per_channel,B95_tooth_T,B95_yoke_T,Vll_field_V,PF_field,Vll_terminal_highmu_V,PF_terminal_highmu,efficiency_screen
nominal,3.0,2036.6,443.4366,0.755805,1.510652,1.643147,3861.629,0.70655,4129.433,0.6607,0.9007
design,3.0,2161.3,500.1091,0.848223,1.609251,1.713709,4091.438,0.708426,4374.969,0.6625,0.9011
nominal,3.1,2035.5,443.5022,0.760451,1.507053,1.633719,3803.067,0.718262,4067.396,0.6716,0.9003
design,3.1,2160.0,500.1207,0.853344,1.606557,1.703042,4028.615,0.720261,4308.371,0.6735,0.9007
nominal,3.2,2037.9,443.5102,0.767447,1.507641,1.624326,3749.100,0.728284,4010.881,0.6808,0.8996
design,3.2,2162.6,500.1495,0.861261,1.606823,1.696938,3971.528,0.730307,4248.554,0.6827,0.9001
nominal,3.4,2053.4,443.4776,0.789086,1.519316,1.616507,3655.093,0.742991,3914.847,0.6937,0.8974
design,3.4,2179.0,500.1169,0.885200,1.612795,1.693102,3871.589,0.745114,4146.374,0.6957,0.8978
nominal,3.6,2083.3,443.3874,0.820992,1.538823,1.620062,3577.479,0.750547,3839.609,0.6993,0.8939
design,3.6,2210.8,500.0869,0.920626,1.631591,1.690375,3788.348,0.752934,4065.519,0.7016,0.8944
nominal,3.8,2128.6,443.3102,0.864040,1.567675,1.637161,3514.451,0.750951,3783.797,0.6975,0.8891
design,3.8,2258.9,500.0294,0.969006,1.663918,1.705482,3722.224,0.753235,4007.077,0.6997,0.8897
nominal,4.2,2273.4,443.2197,0.994853,1.668342,1.691063,3437.406,0.728411,3738.461,0.6698,0.8747
design,4.2,2412.4,500.0072,1.115038,1.764955,1.757619,3637.555,0.731303,3955.783,0.6725,0.8754
nominal,4.3,2323.2,443.2028,1.039595,1.701973,1.706154,3428.895,0.717784,3741.957,0.6577,0.8698
design,4.3,2465.1,499.9930,1.164975,1.796664,1.781236,3627.624,0.720833,3958.521,0.6606,0.8705
nominal,4.4,2379.6,443.1810,1.090604,1.735959,1.723256,3424.860,0.705180,3751.741,0.6437,0.8644
design,4.4,2524.9,500.0144,1.222057,1.836405,1.804535,3622.586,0.708370,3968.100,0.6467,0.8651
