case,slip16_Hz,mapped_slip12_Hz,supply_Hz,current_A_16_est,V_highmu_width_allow_16_screen,B95_tooth_T_16_upper,B95_yoke_T_16_upper
nominal,3.8,4.0313043478,43.8,2226.704,4464.069,1.859,1.822
nominal,4.0,4.2434782609,44.0,2245.625,4306.634,1.871,1.822
nominal,4.2,4.4556521739,44.2,2275.453,4166.418,1.881,1.830
nominal,4.4,4.6678260870,44.4,2314.554,4031.315,1.897,1.840
nominal,4.6,4.8800000000,44.6,2365.722,3903.769,1.931,1.855
nominal,4.8,5.0921739130,44.8,2428.854,3783.281,1.982,1.877
design,3.8,4.0313043478,43.8,2400.062,4678.430,1.997,1.899
design,4.0,4.2434782609,44.0,2419.200,4519.144,1.999,1.898
design,4.2,4.4556521739,44.2,2450.336,4367.323,2.022,1.906
design,4.4,4.6678260870,44.4,2492.664,4223.034,2.053,1.917
design,4.6,4.8800000000,44.6,2546.707,4086.206,2.083,1.936
design,4.8,5.0921739130,44.8,2614.780,3959.397,2.102,1.970
