case,slip_Hz,supply_Hz,model,n,current_factor,current_A,Rfield_corr_ohm,Xfield_assumed_ohm,P2_corr_MW_per_channel,Vab_V,Vbc_V,Vca_V,Vll_avg_V,Vll_max_V,PF,P_MW,Q_Mvar,S_MVA,m_1p0,m_1p1
nominal,3.4,43.4,pair_mutual,2.031140152488809,1.060483801995087,2177.597439016712,0.6854751336399247,0.6878377145701923,0.8874265484248397,3943.4731416728855,3969.777720070907,3826.5066231375904,3913.252494960461,3969.777720070907,0.6782575377272291,10.00960118558007,10.844402763414156,14.757817832915222,0.8103274838702398,0.7366613489729453
nominal,3.4,43.4,no_face_mutual_upper,2.031140152488809,1.060483801995087,2177.597439016712,0.6854751336399247,0.6878377145701923,0.8874265484248397,4030.667750680495,3999.5618284829025,3825.1100450176586,3951.7798747270185,4030.667750680495,0.6717325573624026,10.00960118558007,11.038693686191206,14.901170228942542,0.8227566093215681,0.7479605539286983
design,3.4,43.4,pair_mutual,2.031140152488809,1.060483801995087,2310.7942045472946,0.6863915573532868,0.684157798778891,0.9955188416290089,4176.103315205338,4204.49639517938,4052.297791329006,4144.299167237908,4204.49639517938,0.6805038153613119,11.286242865118835,12.15266192776806,16.58512797481735,0.8582392327967283,0.7802174843606622
design,3.4,43.4,no_face_mutual_upper,2.031140152488809,1.060483801995087,2310.7942045472946,0.6863915573532868,0.684157798778891,0.9955188416290089,4268.472555104601,4236.1506596998315,4050.592427702664,4185.071880835699,4268.472555104601,0.6739622976992563,11.286242865118837,12.371448092899117,16.746104201447665,0.8712983117566855,0.7920893743242596
nominal,3.6,43.6,pair_mutual,2.0300402846436003,1.0605175440445238,2209.3761995079567,0.6683520795552303,0.6551577839966183,0.9233676180870438,3865.2136756290365,3893.41167050778,3746.9009497441784,3835.1754319603315,3893.41167050778,0.6850846055298602,10.053132580031054,10.689687334814842,14.67429350898307,0.7947393292784272,0.7224902993440248
nominal,3.6,43.6,no_face_mutual_upper,2.0300402846436003,1.0605175440445238,2209.3761995079567,0.6683520795552303,0.6551577839966183,0.9233676180870438,3953.6687412875795,3923.919648461946,3744.834497153068,3874.1409623008644,3953.6687412875795,0.678289570543656,10.053132580031052,10.890612076667212,14.8212990684397,0.8070392523455338,0.7336720475868489
design,3.6,43.6,pair_mutual,2.0300402846436003,1.0605175440445238,2344.5921863736335,0.6691649894362623,0.6510720590019717,1.0354257249388579,4091.6680508628665,4122.132128138254,3966.47461683299,4060.09159861137,4122.132128138254,0.6875519172806474,11.334716277280085,11.970785793310514,16.485615111234488,0.841426697189304,0.7649333610811855
design,3.6,43.6,no_face_mutual_upper,2.0300402846436003,1.0605175440445238,2344.5921863736335,0.6691649894362623,0.6510720590019717,1.0354257249388579,4185.3553028164315,4154.560777881819,3964.0292756105828,4101.315118769611,4185.3553028164315,0.6807373619374816,11.334716277280084,12.197056692710277,16.65064518424516,0.8543320736793361,0.7766655215266691
nominal,3.8,43.8,pair_mutual,2.029622871818031,1.0605303594047215,2257.44492302889,0.6433605406622844,0.6294803894436671,0.9718070807270379,3810.461711623201,3839.2497817115905,3688.901673904537,3779.5377224131093,3839.2497817115905,0.6844441783244242,10.113262177811542,10.772577875138486,14.775875810018054,0.783683580023758,0.7124396182034165
nominal,3.8,43.8,no_face_mutual_upper,2.029622871818031,1.0605303594047215,2257.44492302889,0.6433605406622844,0.6294803894436671,0.9718070807270379,3901.364054625118,3870.563348760512,3686.858523521762,3819.5953089691307,3901.364054625118,0.677369289661224,10.113262177811542,10.9833028565462,14.930204737905283,0.7963626028889348,0.7239660026263045
design,3.8,43.8,pair_mutual,2.029622871818031,1.0605303594047215,2395.6320288593256,0.6441170276641607,0.6257584443152524,1.0898649276271746,4034.3344785126437,4065.409972434975,3905.6829085384597,4001.809119828693,4065.409972434975,0.6867836572663907,11.402327930949065,12.067726933026291,16.602503292425194,0.8298483356406595,0.7544075778551451
design,3.8,43.8,no_face_mutual_upper,2.029622871818031,1.0605303594047215,2395.6320288593256,0.6441170276641607,0.6257584443152524,1.0898649276271746,4130.625868153082,4098.692442067701,3903.2690245423746,4044.1957782543864,4130.625868153082,0.6796895190989273,11.402327930949065,12.305040146074056,16.775788960325993,0.8431604746096529,0.7665095223724118
